gene_id,gene_name,n_cells_by_counts,mean_counts,log1p_mean_counts,pct_dropout_by_counts,total_counts,log1p_total_counts,n_cells
PA14_06920,PA14_06920,197,0.0024306144367192356,0.0024276652713384984,99.77728788649596,215.0,5.375278407684165,163
PA14_07070,PA14_07070,447,0.0052908258436493135,0.005276878597931624,99.49465830083093,468.0,6.150602768446279,378
PA14_07090,PA14_07090,212,0.002566276637838449,0.002562989372767438,99.76033011135605,227.0,5.429345628954441,176
PA14_07130,PA14_07130,232,0.0027358543892374654,0.0027321187515073784,99.73771974450285,242.0,5.493061443340548,195
PA14_07150,PA14_07150,144,0.0016844723305635633,0.0016830551982376168,99.83720535865695,149.0,5.0106352940962555,120
PA14_07210,PA14_07210,59,0.000712226555875869,0.0007119730429077254,99.93329941778305,63.0,4.1588830833596715,52
PA14_07230,PA14_07230,307,0.0035724379628059464,0.0035660719632275833,99.65293086880335,316.0,5.75890177387728,257
PA14_07300,PA14_07300,50,0.0006330902718896614,0.0006328899547848953,99.94347408286698,56.0,4.04305126783455,38
PA14_07480,PA14_07480,81,0.0009609405912610932,0.0009604791834178188,99.90842801424454,85.0,4.454347296253507,69
PA14_07500,PA14_07500,3,3.391555027980329e-05,3.3914975160531515e-05,99.99660844497203,3.0,1.3862943611198906,3
PA14_07520,PA14_07520,1350,0.018212650500254366,0.018048786785516895,98.47380023740885,1611.0,7.385230923066573,1090
PA14_07530,PA14_07530,349,0.004295969702108417,0.0042867683672922095,99.60544909841163,380.0,5.942799375126701,295
PA14_07550,PA14_07550,9,0.00011305183426601097,0.00011304544438898252,99.98982533491606,10.0,2.3978952727983707,7
PA14_07560,PA14_07560,138,0.001616641230003957,0.001615335872244762,99.84398846871291,143.0,4.969813299576001,118
PA14_07570,PA14_07570,200,0.002351478152733028,0.0023487177544788533,99.77389633146798,208.0,5.342334251964811,175
PA14_07580,PA14_07580,30,0.0003391555027980329,0.0003390980025711387,99.9660844497202,30.0,3.4339872044851463,23
PA14_07650,PA14_07650,283,0.003278503193714318,0.0032731406197326982,99.68006330902719,290.0,5.673323267171493,256
PA14_07680,PA14_07680,606,0.00742750551127692,0.007400057422311501,99.31490588434797,657.0,6.489204931325317,517
PA14_07690,PA14_07690,7,7.913628398620767e-05,7.913315287567465e-05,99.99208637160137,7.0,2.0794415416798357,5
